,genotype,fitness,tree_depth,phenotype,other_info,mapping_values
486,"[[0], [1, 2], [], [0], [], [], [0], [0], [5, 6, 2, 8, 1, 1, 8]]",1.803125855572342e+35,6,0.562+((_exp_(81.18))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 1, 0, 0, 1, 1, 7]"
487,"[[0], [0, 1, 3, 2], [3], [0], [0], [], [0], [0], [2, 0, 7, 9, 4, 9, 9]]",3.005088851247242e+40,6,0.207+(((_exp_(x[0])))|_div_|(94.99)),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 4, 1, 1, 1, 0, 1, 1, 7]"
488,"[[0], [0, 1, 3, 4], [3], [0], [0, 0], [0], [], [0], [3, 7, 7]]",4.3233496710229814e+40,6,0.377+(((_exp_(x[0])))|_div_|((x[0]-33.941))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 4, 1, 1, 2, 1, 0, 1, 3]"
489,"[[0], [1, 3], [], [0], [0], [], [], [0], [9, 2, 2]]",2.854533899799755e+42,5,0.922+((_exp_(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 1, 1, 0, 0, 1, 3]"
490,"[[0], [0, 1, 3, 4], [1], [0], [0, 0], [0], [], [0], [9, 2, 7]]",2.854533899799755e+42,6,0.927+(((_exp_(x[0])))-((x[0]-33.941))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 4, 1, 1, 2, 1, 0, 1, 3]"
491,"[[0], [1, 3], [], [0], [0], [], [], [0], [9, 1, 3]]",2.854533899799755e+42,5,0.913+((_exp_(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 1, 1, 0, 0, 1, 3]"
492,"[[0], [1, 3], [], [0], [0], [], [], [0], [4, 9, 1]]",2.854533899799755e+42,5,0.491+((_exp_(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 1, 1, 0, 0, 1, 3]"
493,"[[0], [1, 3], [], [0], [0], [], [], [0], [4, 0, 0]]",2.854533899799755e+42,5,0.400+((_exp_(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 1, 1, 0, 0, 1, 3]"
494,"[[0], [1, 3], [], [0], [0], [], [], [0], [7, 1, 3]]",2.854533899799755e+42,5,0.713+((_exp_(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 1, 1, 0, 0, 1, 3]"
495,"[[0], [1, 2], [], [0], [], [], [0], [0], [9, 0, 3, 9, 7, 9, 0]]",3.291772239124202e+42,6,0.903+((_exp_(97.90))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 1, 0, 0, 1, 1, 7]"
496,"[[0], [0, 1, 3, 4], [2], [0], [0, 0], [0], [], [0], [0, 9, 1]]",1.8847941376166794e+44,6,0.091+(((_exp_(x[0])))*((x[0]-33.941))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 4, 1, 1, 2, 1, 0, 1, 3]"
497,"[[0], [1, 1], [], [0, 1], [], [], [0, 0], [0], [2, 0, 4, 1, 4, 4, 7, 1, 2, 7, 6]]",inf,7,0.204+((_exp_((_exp_((x[0]-14.47)|_div_|12.76))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 2, 0, 2, 0, 0, 2, 1, 11]"
498,"[[0], [1, 1, 3], [], [0, 0], [0], [], [], [0], [3, 1, 6]]",inf,7,0.316+((_exp_((_exp_(x[0]))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 0, 2, 1, 0, 0, 1, 3]"
499,"[[0], [1, 1, 4], [], [0, 0], [0], [0], [], [0], [4, 5, 6]]",inf,7,0.456+((_exp_((_exp_((x[0]-33.941)))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}","[1, 3, 0, 2, 1, 1, 0, 1, 3]"
